Code*,Name in English,Name in Hebrew
1,Red Sea Trough with the Eastern axis,אפיק ים סוף ציר מזרחי
2,Red Sea Trough with the Western axis,אפיק ים סוף ציר מערבי
3,Red Sea Trough with the Central axis,אפיק ים סוף ציר מרכזי
4,Persian Trough (Weak),אפיק פרסי חלש
5,Persian Trough (Medium),אפיק פרסי ממוצע
6,Persian Trough (Deep),אפיק פרסי עמוק
7,High to the East,רמה ממזרח
8,High to the West,רמה ממערב
9,High to the North,רמה מצפון
10,High over Israel (Central),רמה על ישראל
11,Low to the East (Deep),שקע עמוק ממזרח
12,Cyprus Low to the South (Deep),שקע קפריסאי דרומי עמוק
13,Cyprus Low to the South (Shallow),שקע קפריסאי דרומי רדוד
14,Cyprus Low to the North (Deep),שקע קפריסאי צפוני עמוק
15,Cyprus Low to the North (Shallow),שקע קפריסאי צפוני רדוד
16,cold Low to the West,שקע קר ממערב
17,Low to the East (Shallow),שקע רדוד ממזרח
18,Sharav Low to the West,שקע שרבי ממערב
19,Sharav Low over Israel (Central),שקע שרבי על ישראל
