name,lat,lon,alt,X,Y,Z,ant_type,ant_dome,bpa,receiver
alon,31.707935944444444,34.60664498888889,55.671,4470258.15108772,3084589.7721419055,3332952.7759195906,LEIAT504,LEIS,0.0,Javad Delta 3N v3.7.6
bshm,32.77898464444444,35.02298350277778,225.046,4395951.480639085,3080707.0548841003,3433498.0008577756,TRM59800.00,SCIS,0.0,Javad Delta 3N v3.7.6
csar,32.48825408888889,34.890185430555555,36.589,4417211.533561279,3080364.6968236463,3406244.1748013473,LEIAT504,LEIS,0.0,Javad Delta 3N v3.7.6
drag,31.593200463888888,35.392070302777775,31.81,4432980.662050432,3149432.093004649,3322110.440953717,ASH700936D_M,SNOW,0.0,Javad Delta 3N v3.7.6
dsea,31.036914052777778,35.36882331388889,-360.809,4460124.376989793,3165994.217056594,3269214.8960958077,LEIAT504,LEIS,0.0,Javad Delta 3N v3.7.6
elat,29.509279183333334,34.92060017777778,29.521,4555028.65092289,3180067.341871843,3123164.4310245127,LEIAT504GG,SCIS,0.0,Javad Delta 3N v3.7.6
hrmn,33.30830870277777,35.78544788611111,2091.712,4329864.3319688225,3121125.214946868,3483734.2609948977,ASH701945C_M,SNOW,0.0,Javad Delta 3N v3.7.6
jslm,31.771153277777778,35.202452175000005,790.336,4435438.210196498,3129141.7741092267,3339301.0201774277,ASH701945B_M,SNOW,0.0,Javad Delta 3N v3.7.6
kabr,33.022815691666665,35.14505816944445,103.385,4377283.066700595,3081551.5959242904,3456136.8526914804,ASH701945C_M,SNOW,0.0,Javad Delta 3N v3.7.6
katz,32.99524616111111,35.68828363333333,346.966,4349389.177982922,3124004.7300859476,3453705.4110100893,LEIAT504GG,LEIS,0.0,Javad Delta 3N v3.7.6
klhv,31.378061936111113,34.86672518611111,498.041,4472219.808150053,3116004.067963962,3302011.0232053907,ASH701945D_M,SNOW,0.0,Javad Delta 3N v3.7.6
krom,33.18137022222222,35.76951592222222,1086.456,4336313.7623996455,3123942.261308272,3471405.788785012,LEIAT504,LEIS,0.0,Javad Delta 3N v3.7.6
kslm,31.226472949999998,34.28405784722222,104.725,4510613.891560179,3075093.4643310537,3287445.1296040365,LEIAT504GG,NONE,0.0,Javad Delta 3N v3.7.6
mrav,32.44992071666666,35.42161253888889,415.607,4390571.455721114,3122709.9933106923,3402861.0479295207,LEIAT504,LEIS,0.0,Javad Delta 3N v3.7.6
nizn,30.88431661111111,34.42347903333333,274.071,4519380.314603296,3097205.300201258,3255033.818312915,LEIAT504GG,LEIS,0.0,Javad Delta 3N v3.7.6
nrif,30.038418136111112,35.03604118333333,457.522,4525067.003288906,3172729.9132195404,3174290.239295075,LEIAT504,LEIS,0.0,Javad Delta 3N v3.7.6
nzrt,32.78249554722222,35.33144588611111,411.674,4379258.31709677,3104297.5311275003,3433926.4172549415,ASH700936E,SNOW,0.0,Javad Delta 3N v3.7.6
ramo,30.59760525833333,34.76313941111111,886.814,4514721.852732087,3133507.8418025197,3228024.67770671,ASH701945B_M,SNOW,0.003,Javad Delta 3N v3.7.6
spir,30.613630733333334,35.18395005833333,12.078,4490231.486617328,3165626.5066177594,3229108.564593677,JAVRINGANT_DM,JVDM,0.0,Javad Delta 3N v3.7.6
tela,32.06799568888889,34.780897055555556,58.341,4443535.384275448,3086140.891111281,3366854.205045269,TRM29659.00,SCIS,0.0,Septentrio POLARX4
yosh,32.10383323333333,35.20967046944445,714.412,4419045.3413258465,3118410.713244082,3370569.8601045636,LEIAT504,LEIS,0.0,Javad Delta 3N v3.7.6
yrcm,30.99156893611111,34.92826804722222,516.062,4487075.999135332,3133519.860147474,3265357.973220746,LEIAT504,LEIS,0.0,Javad Delta 3N v3.7.6
hama,32.73802787777778,35.65447565,372.923,4363828.960745586,3130474.612259285,3429758.1085123406,JAVRINGANT_DM,SCIS,0.0,Javad Delta 3N v3.7.6
tmar,31.151862580555555,35.36504949722222,-351.396,4454972.379057631,3161895.8390421765,3280132.457265759,LEIAT504,LEIS,0.0,Javad Delta 3N v3.7.6
